"","location","city","country","utc","local","parameter","value","unit","latitude","longitude","attribution","fyh","fecha","horas","dias","meses"
"56","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T22:00:00.000Z","2019-09-07T17:00:00-05:00","o3",-9999,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 22:00:00,2019-09-07,22,7,9
"57","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T21:00:00.000Z","2019-09-07T16:00:00-05:00","o3",0.0451,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 21:00:00,2019-09-07,21,7,9
"58","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T20:00:00.000Z","2019-09-07T15:00:00-05:00","o3",0.0441,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 20:00:00,2019-09-07,20,7,9
"59","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T19:00:00.000Z","2019-09-07T14:00:00-05:00","o3",0.0374,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 19:00:00,2019-09-07,19,7,9
"60","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T18:00:00.000Z","2019-09-07T13:00:00-05:00","o3",0.0355,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 18:00:00,2019-09-07,18,7,9
"61","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T17:00:00.000Z","2019-09-07T12:00:00-05:00","o3",0.0316,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 17:00:00,2019-09-07,17,7,9
"62","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T16:00:00.000Z","2019-09-07T11:00:00-05:00","o3",0.0247,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 16:00:00,2019-09-07,16,7,9
"63","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T15:00:00.000Z","2019-09-07T10:00:00-05:00","o3",0.02,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 15:00:00,2019-09-07,15,7,9
"64","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T14:00:00.000Z","2019-09-07T09:00:00-05:00","o3",0.0076,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 14:00:00,2019-09-07,14,7,9
"65","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T13:00:00.000Z","2019-09-07T08:00:00-05:00","o3",0.0019,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 13:00:00,2019-09-07,13,7,9
"66","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T12:00:00.000Z","2019-09-07T07:00:00-05:00","o3",0.0013,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 12:00:00,2019-09-07,12,7,9
"67","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T11:00:00.000Z","2019-09-07T06:00:00-05:00","o3",0.0037,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 11:00:00,2019-09-07,11,7,9
"68","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T10:00:00.000Z","2019-09-07T05:00:00-05:00","o3",0.0012,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 10:00:00,2019-09-07,10,7,9
"69","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T09:00:00.000Z","2019-09-07T04:00:00-05:00","o3",0.0014,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 09:00:00,2019-09-07,9,7,9
"70","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T08:00:00.000Z","2019-09-07T03:00:00-05:00","o3",7e-04,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 08:00:00,2019-09-07,8,7,9
"71","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T07:00:00.000Z","2019-09-07T02:00:00-05:00","o3",0.0017,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 07:00:00,2019-09-07,7,7,9
"72","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T06:00:00.000Z","2019-09-07T01:00:00-05:00","o3",0.0022,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 06:00:00,2019-09-07,6,7,9
"73","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T05:00:00.000Z","2019-09-07T00:00:00-05:00","o3",0.0038,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 05:00:00,2019-09-07,5,7,9
"74","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T04:00:00.000Z","2019-09-06T23:00:00-05:00","o3",0.0058,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 04:00:00,2019-09-07,4,7,9
"75","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T03:00:00.000Z","2019-09-06T22:00:00-05:00","o3",0.0062,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 03:00:00,2019-09-07,3,7,9
"76","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T02:00:00.000Z","2019-09-06T21:00:00-05:00","o3",0.0062,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 02:00:00,2019-09-07,2,7,9
"77","BAR-PDLA - Parque de las Aguas","Medellin","CO","2019-09-07T01:00:00.000Z","2019-09-06T20:00:00-05:00","o3",0.0067,"ppm",6.4067135,-75.419487,"[{""url"":""https://siata.gov.co/"",""name"":""Sistema de Alerta Temprana de Medellín y el Valle de Aburrá - SIATA""}]",2019-09-07 01:00:00,2019-09-07,1,7,9
